SampleID	LUCAS_ID	Elevation	Erosion_risk	Slope	Aspect	Sample_month	Precipitation_in_sample_month	Temperature_in_sample_month	AvTemp2000_2018	AvPrec2000_2018	bas	Cmic	qO2	Water_content	BARCODE_ID	LC1_2018	LC_simpl_2018	LU1_2018	LU1_2015	Depth	Coarse_fragments	Clay	Sand	Silt	pH	Electrical_conductivity	Organic_carbon	Carbonates	P	N	K	Bulk_density	bioregions	Aridity_in_sample_month	Bioregions_chr	LC_num	C:N	Sample_season	Soil_depth	Mean_annual_temperature	Mean_diurnal_range	Isothermality	Temperature_seasonality	Max_temperature_of_warmest month	Min_temperature_of_coldest month	Temperature_annual_range	Mean_temperature_of_the_wettest_quarter	Mean_temperature_of_driest_quarter	Mean_temperature_of_warmest_quarter	Mean_temperature_of_coldest_quarter	Total_annual_precipitation	Precipitation_of_wettest_month	Precipitation_of_driest_month	Precipitation_seasonality	Precipitation_of_wettest_quarter	Precipitation_of_driest_quarter	Precipitation_of_warmest_quarter	Precipitation_of_coldest_quarter	Sample_date	SSM	SSMA	Project
Lucas0011	34002136	220.7298126	1.01915632	90	0	6	36.64239883	22.60005188	15.18173464	25.434983	1.469026549	570.2216978	0.002576238	15.71357534	Lucas0011	CL_annual	Cropland	U111	U111	0-20	68	26	39	35	7.8	45.3	13	324	46.2	2	316	1.311279653	4	0.659035335	atlantic	1	6.5	Summer	3459	14.89166665	11.14999994	38.85017393	640.1627344	31	2.299999952	28.70000005	17.01666649	8.650000056	23.0333333	7.433333317	344	47	19	27.35924119	118	67	75	72	03.06.2018	9.735013008	0.723304451	LUCAS
Lucas0012	35282092	158.7958221	3.702456024	90	0	5	65.56489563	18.37361717	15.25700564	29.227004	0.865671642	178.6567164	0.004845447	8.173712021	Lucas0012	CL_permanent	Cropland	U111	U111	0-20	70	24	37	39	7.97	88.8	23.4	294	13.8	1.6	383	1.378727165	9	1.2762367	mediterranean	1	14.625	Spring	1661	15.1916667	11.60000018	38.41059718	677.5920945	31.89999962	1.700000048	30.19999957	15.76666649	23.73333327	23.73333327	7.166666746	364	48	10	36.7766882	121	61	61	72	22.05.2018	7.032222271	0.18379204	LUCAS
Lucas0013	43942996	401.3757629	1.76317062	5.126400082	299.2941176	5	58.97376633	16.14980602	9.558629563	57.3263074	2.770682148	750.7343977	0.003690629	20.20185308	Lucas0013	GL_managed	Grassland	U111	U111	0-20	82	30	11	59	6.01	13.1	57.6	1	9.9	5.4	364.2	1.001561324	9	1.199877906	mediterranean	3	10.66666667	Spring	1243	8.08750008	8.508333514	32.47455445	679.6728042	22.70000076	-3.5	26.20000076	15.00000008	3.650000071	16.53333346	-0.116666655	761	81	49	15.75449158	221	156	220	188	29.05.2018	6.18697691	-0.834742904	LUCAS
Lucas0014	47262412	1055.459473	0.170450415	11.47834095	162.3529412	6	113.465683	15.31259394	9.507516309	104.8284687	5.854292343	990.3511214	0.00591133	28.76033058	Lucas0014	WL_broadleaved	Woodland	U120	U120	0-20	3	34	10	56	6.77	25.9	97	9	7.9	5.8	137.5	0.684162014	9	2.348573607	mediterranean	2	16.72413793	Summer	865	6.404166736	7.725000069	30.77689224	646.780347	20.10000038	-5	25.10000038	3.133333375	14.55000019	14.55000019	-1.233333309	1550	194	73	25.82460069	525	288	288	384	05.06.2018	22.85004425	0.994283915	LUCAS
Lucas0015	44143298	41.73753738	0.103656202	0	360	6	27.55644226	18.38582373	9.871040143	46.66014732	4.301193467	728.0747487	0.005907626	47.12720027	Lucas0015	WL_broadleaved	Woodland	U111	U111	0-20	1	5	83	12	5.39	24.9	212	0	27.8	17.8	109.2	0.553475199	9	0.536265457	mediterranean	2	11.91011236	Summer	2419	9.058333342	8.333333244	32.80839909	651.6058297	23.39999962	-2	25.39999962	17.16666667	4.599999925	17.16666667	1.23333327	554	63	34	18.12201352	174	111	174	126	01.06.2018	2.250000477	-1.051898599	LUCAS
Lucas0016	50702998	782.6156006	6.184420948	5.126400082	1.411764706	5	106.6166992	14.77658892	7.598238744	76.0144571	1.802150974	373.342803	0.004827068	18.00332779	Lucas0016	GL_managed	Grassland	U111	U111	0-20	13	21	31	49	4.64	21.4	23.2	1	23.7	2.7	86.2	0.885289661	9	2.231567838	mediterranean	3	8.592592593	Spring	1194	6.204166745	9.058333566	32.58393291	708.8097011	20.70000076	-7.099999905	27.80000067	14.81666692	-1.516666651	14.81666692	-2.600000024	1179	171	56	39.71666376	466	195	466	203	30.05.2018	17.9180851	-0.731017351	LUCAS
Lucas0017	51483800	6.449999809	0.419345708	0	45.17647059	5	30.55501175	16.12795544	7.516569966	46.24282134	0.934812287	113.0273038	0.008270677	17.1497243	Lucas0017	CL_annual	Cropland	U111	U111	0-20	13	11	64	25	6.32	9.48	21.3	0	15.4	2.2	71	1.331333122	9	0.621947555	mediterranean	1	9.681818182	Spring	2355	6.783333334	7.316666557	24.88662167	817.024351	22.79999924	-6.599999905	29.39999914	15.89999994	-2.266666651	16.91666683	-3.283333282	592	77	26	32.22903075	210	88	207	102	03.05.2018	10.49309063	-0.121525645	LUCAS
Lucas0018	33902114	485.0028992	1.950119065	90	0	6	44.13289642	21.43855619	14.016559	26.27356484	0.469097539	73.79459131	0.006356801	9.801019569	Lucas0018	CL_annual	Cropland	U111	U111	0-20	75	28	44	28	8.38	14.52	5.4	69	8.4	0.7	260.2	1.673582525	9	0.810691898	mediterranean	1	7.714285714	Summer	2224	13.77916661	12.32499998	40.27777824	659.4124683	31.39999962	0.800000012	30.59999961	15.78333338	7.416666677	22.25	6.216666669	355	52	20	32.08113547	131	64	83	69	03.06.2018	14.88217163	1.60770762	LUCAS
Lucas0019	51103486	158.1332855	1.971099238	0	158.1176471	5	28.84750748	17.10558033	8.171823251	45.5500944	0.583641747	166.1433506	0.003512881	10.69244753	Lucas0019	GL_managed	Grassland	U111	U111	0-20	13	4	73	22	5.83	8.17	13.8	0	15.3	1.6	156.4	1.067405006	9	0.575734425	mediterranean	3	8.625	Spring	1796	6.937499986	7.825000059	26.70648424	820.7566499	22.70000076	-6.599999905	29.30000067	16.80000003	-2.283333302	16.80000003	-3.35	548	73	25	34.38702564	206	86	206	94	28.05.2018	9.047608376	-0.898224771	LUCAS
Lucas0020	50083478	143.1689301	1.426899764	0	24	5	34.55025482	16.72531605	8.267748356	49.57138082	0.893907732	102.9194663	0.008685507	11.7338252	Lucas0020	WL_broadleaved	Woodland	U420	U111	0-20	1	10	59	31	4.86	7.63	10	0	10.2	1.2	139.6	1.067405006	9	0.694822227	mediterranean	2	8.333333333	Spring	1783	7.175000018	7.849999816	28.03571459	766.3031092	22.29999924	-5.699999809	27.99999905	16.48333343	2.066666695	16.48333343	-2.349999942	659	81	30	28.94194616	228	106	228	126	29.05.2018	13.95822525	0.199145004	LUCAS
Lucas0021	42863582	27.49947739	0.735276123	0	25.41176471	6	35.35778809	15.95989704	9.211124219	58.85704402	0.800148313	191.0097639	0.004189044	10.94601288	Lucas0021	CL_annual	Cropland	U111	U111	0-20	4	11	65	24	6.62	16.06	31.9	0	32.2	2.3	113.1	1.90740419	9	0.722178563	mediterranean	1	13.86956522	Summer	2453	7.866666754	7.133333643	30.88023171	584.0234054	20.60000038	-2.5	23.10000038	8.816666722	3.066666722	15.11666679	1.016666691	756	83	42	22.98328815	241	134	203	172	03.06.2018	4.474782944	-1.360753179	LUCAS
Lucas0022	49803394	141.6165771	0.357150201	0	313.4117647	5	30.56217003	16.75326443	8.347266298	42.63286149	0.478629579	151.0310945	0.00316908	2.593755163	Lucas0022	WL_coniferous	Woodland	U120	U120	NA	6	3	87	10	5.21	3.98	16.1	0	104.2	1.1	22.4	1.067405006	9	0.614274669	mediterranean	2	14.63636364	Spring	2607	7.30833331	8.033333227	28.58837457	764.9326497	22.5	-5.599999905	28.0999999	16.58333317	-1.133333296	16.58333317	-2.216666629	593	80	24	35.19253483	222	90	222	100	29.05.2018	12.94546127	0.063468285	LUCAS
Lucas0023	33241858	693.8508301	1.439785798	0	300.7058824	5	40.99782181	16.12772894	14.72982914	26.87657522	0.321309168	207.19573	0.001550752	5.613685434	Lucas0023	CL_annual	Cropland	U420	U420	0-10	14	25	34	41	8.32	16.28	10.9	434	19.5	1.2	179.2	1.149784057	9	0.8345149	mediterranean	1	9.083333333	Spring	3711	14.10416662	12.87499993	39.25304858	706.0886529	33	0.200000003	32.8	16.04999987	23.1500001	23.35000022	6.149999909	378	46	13	34.07424732	127	61	63	81	23.05.2018	7.261795044	0.084919818	LUCAS
Lucas0024	43543126	242.2546997	1.340884672	0	321.8823529	6	32.77357483	17.76028013	9.321023038	57.98769238	0.971225782	350.1083189	0.002774072	13.27566129	Lucas0024	CL_annual	Cropland	U111	U111	0-20	4	25	2	72	7.38	16.1	17	2	56.2	1.8	174.1	1.28909102	9	0.645653939	mediterranean	1	9.444444444	Summer	2398	8.474999998	8.616666567	33.3979328	651.4930334	22.89999962	-2.900000095	25.79999971	15.05000011	4.016666786	16.5999999	0.600000004	679	73	41	17.2148389	206	139	206	152	04.06.2018	2.817934036	-1.082093477	LUCAS
Lucas0025	45123304	33.3540802	0.126718449	0	208.9411765	5	18.85754585	16.81530619	9.966691118	46.08398086	3.700966635	449.7752832	0.008228479	46.63005492	Lucas0025	GL_managed	Grassland	U111	U420	0-20	44	7	56	37	6.17	21.8	241.3	1	11.7	18.8	70.1	0.555117424	9	0.378549231	mediterranean	3	12.83510638	Spring	2771	8.866666641	8.116666582	31.45994892	678.4049903	23.29999924	-2.5	25.79999924	17.3499999	4.149999913	17.3499999	0.733333319	518	62	30	20.01585184	161	102	161	120	31.05.2018	10.01411915	0.037424229	LUCAS
Lucas0026	53641966	629.2110596	3.684541106	5.126400082	173.6470588	6	138.9868774	20.98490143	13.58189226	44.18634836	0.437532947	162.9372694	0.002685285	6.181998022	Lucas0026	CL_annual	Cropland	U111	U111	0-20	31	15	51	35	6.91	12.06	11.8	0	38	1.2	108.5	1.042616875	9	2.574550916	mediterranean	1	9.833333333	Summer	1978	12.30833331	10.89999988	35.50488554	747.1242853	29.5	-1.200000048	30.70000005	8.366666794	21.18333324	21.64999994	3.383333306	503	56	27	22.04841719	157	89	96	127	24.06.2018	21.44565964	0.411885947	LUCAS
Lucas0027	48462300	354.6879578	2.822877593	5.126400082	105.8823529	5	67.67553711	18.96523619	14.69340595	74.02923122	0.730304891	299.6741014	0.002436997	19.34312593	Lucas0027	D10	Shrubland	U420	U420	0-20	21.68978102	35	14	51	6.53	6.17	29.2	5	2.5	2.8	191.7	0.772477586	9	1.302323285	mediterranean	Shrubland	10.42857143	Spring	2236	13.62499993	8.333332996	31.8066153	672.7808548	28.29999924	2.099999905	26.19999933	10.14999998	22.18333308	22.18333308	5.699999849	859	110	38	27.29946655	296	147	147	229	29.05.2018	17.51481056	-0.094173372	LUCAS
Lucas0028	51722996	481.7940979	8.510822985	5.126400082	262.5882353	5	78.44007111	15.04155302	8.194912258	58.58826848	2.473971453	954.6742233	0.00259143	21.72198488	Lucas0028	GL_managed	Grassland	U111	U111	0-20	5	30	8	63	6.11	32.8	30.2	1	5.8	3.6	128.6	0.807831832	4	1.632754692	atlantic	3	8.388888889	Spring	1322	6.820833374	8.608333257	30.09906794	747.4272849	21.79999924	-6.800000191	28.59999943	15.76666673	-1.350000083	15.76666673	-2.716666693	801	112	36	39.1637293	308	116	308	123	29.05.2018	14.57144642	-1.057908177	LUCAS
Lucas0029	51764704	130.1699982	0.015979372	0	0	5	26.54601479	11.5605309	2.366175056	41.06939757	1.328918759	183.2923503	0.007250269	16.46301189	Lucas0029	WL_coniferous	Woodland	U120	U120	0-20	4	5	45	50	4.65	3.06	20.4	1	31.9	1.1	34.4	1.163115123	9	0.59572932	mediterranean	2	18.54545455	Spring	1685	1.741666692	8.150000011	23.0878186	959.9569961	20.60000038	-14.69999981	35.30000019	12.16666691	-5.099999954	14.03333346	-9.800000032	618	81	31	33.66930254	224	94	221	112	31.05.2018	11.04432869	-0.869278908	LUCAS
Lucas0030	44483636	8.356133461	0.553330961	0	7.058823529	5	15.14078426	15.69052887	9.08684989	44.72844867	0	113.7574799	0	5.478997177	Lucas0030	CL_annual	Cropland	U111	U111	0-20	11	7	72	20	7.69	18.53	8.7	5	88.2	1.1	275.9	2.014665413	9	0.310959536	mediterranean	1	7.909090909	Spring	2345	8.179166708	5.258333417	23.68618651	656.2408712	20.5	-1.700000048	22.20000005	15.68333324	3.15000008	16.41666667	0.366666665	590	67	29	22.46933483	185	105	178	129	31.05.2018	8.229314804	-0.707478762	LUCAS
Lucas0031	45622768	544.9654541	1.773618882	0	25.41176471	5	108.3101807	15.48929739	9.373617574	94.55427913	1.369034528	202.3128803	0.006766917	35.09848701	Lucas0031	CL_annual	Cropland	U120	U120	0-20	86	28	12	59	4.41	34.8	52.3	0	13.8	4.6	182.4	0.793309053	4	2.233692516	atlantic	1	11.36956522	Spring	2097	8.004166599	8.808333206	32.38357819	703.6575094	22.5	-4.699999809	27.19999981	16.56666644	-0.699999968	16.56666644	-0.699999968	1184	154	65	30.85800247	439	219	439	219	29.05.2018	13.27412224	-1.65939045	LUCAS
Lucas0032	51443008	321.0162048	3.055639982	0	60.70588235	5	74.16426086	16.13421583	8.936125078	57.92523675	1.189066918	369.0071002	0.003222342	12.53091509	Lucas0032	GL_managed	Grassland	U111	U111	0-20	13	32	20	48	5.42	9.93	23.7	1	10.4	2.9	226.1	1.224643506	9	1.509421889	mediterranean	3	8.172413793	Spring	1964	7.833333405	8.683333378	29.94252889	758.5192963	23	-6	29	15.5333333	-0.38333332	16.91666683	-1.833333368	709	102	30	43.62364548	284	97	284	103	29.05.2018	10.093647	-1.341478467	LUCAS
Lucas0033	31542332	1069.572388	0.209277185	90	0	5	101.1207275	10.33912015	8.982509437	57.41654245	3.046626984	454.1175926	0.006708894	28.57142857	Lucas0033	WL_broadleaved	Woodland	U420	U420	0-20	25	18	40	42	4.16	15.69	61.5	1	17.5	4.4	174.3	0.968432716	9	2.333243665	mediterranean	2	13.97727273	Spring	1080	8.945833387	8.874999957	38.75545766	512.8107048	22.10000038	-0.800000012	22.90000039	3.99999995	15.4333334	15.60000022	3.166666664	887	101	44	26.7536547	285	150	150	267	30.05.2018	23.85366249	0.548980534	LUCAS
Lucas0034	46722576	340.5092468	7.216247479	0	248.4705882	5	142.0574341	16.86191607	9.86028335	104.4287431	2.160767298	472.2476973	0.004575496	27.06528981	Lucas0034	CL_annual	Cropland	U111	U111	0-20	85	30	11	58	5.93	41.1	34.8	2	37.2	3.7	216.8	0.903076793	9	2.849016751	mediterranean	1	9.405405405	Spring	2719	8.991666713	10.35000023	34.15841583	758.4668552	25.20000076	-5.099999905	30.30000067	9.333333476	1.166666716	18.11666663	-0.600000024	1437	157	71	24.01039661	441	240	416	255	22.05.2018	21.80818176	0.800632298	LUCAS
Lucas0035	38842666	295.3019409	0.551828317	90	0	5	82.87794495	15.32781076	10.68208167	63.53099241	1.338957908	349.3397614	0.003832824	10.59350133	Lucas0035	GL_managed	Grassland	U111	U111	NA	8	21	51	29	4.77	30	28.5	1	52.7	3.3	375.9	1.067405006	4	1.714912048	atlantic	3	8.636363636	Spring	1781	10.18333341	8.549999918	33.92857112	619.9939036	24.5	-0.699999988	25.19999999	16.08333333	6.099999984	17.96666686	2.699999958	805	79	52	13.27769118	218	165	211	192	24.05.2018	16.00474358	-0.27141282	LUCAS
Lucas0036	44342190	279.3018494	14.26084897	7.252246865	297.8823529	5	58.55867767	17.84596586	14.49501991	52.18728076	0.622603767	127.5830416	0.004879988	14.3	Lucas0036	CL_annual	Cropland	U112	U111	0-20	17	30	25	44	8.26	16.3	10.4	319	3.7	1.2	151.1	1.552886531	9	1.151687783	mediterranean	1	8.666666667	Spring	2458	13.77916667	8.925000091	34.59302367	625.87922	28.5	2.700000048	25.79999995	10.75000008	21.68333292	21.68333292	6.583333453	555	73	17	32.9991571	194	77	77	152	31.05.2018	22.72202301	1.578811646	LUCAS
Lucas0037	49843504	119.7754288	1.667643295	0	42.35294118	5	37.98931503	16.49421549	8.407710678	50.5639803	1.217415522	241.8496101	0.005033771	10.65029861	Lucas0037	GL_managed	Grassland	U111	U112	0-20	6	6	80	14	5.56	6.22	19.1	2	16.9	2.1	58.4	1.067405006	9	0.767550605	mediterranean	3	9.095238095	Spring	2053	7.233333344	7.183333129	26.80348163	747.9071791	21.60000038	-5.199999809	26.80000019	16.31666676	2.033333431	16.31666676	-1.99999996	729	82	35	26.45837761	238	118	238	146	29.05.2018	13.47097492	-0.143724024	LUCAS
Lucas0038	47482810	226.5940094	2.291833182	5.126400082	40.94117647	5	59.99746704	17.67385054	10.36630114	53.88999477	1.232596993	234.9740734	0.005245672	10.55952183	Lucas0038	CL_annual	Cropland	U111	U111	0-20	3	29	13	59	7.85	27.9	16.5	48	104.4	1.7	477.1	1.300666314	9	1.183992659	mediterranean	1	9.705882353	Spring	3185	9.520833441	9.691666945	33.30469697	745.6829122	25.10000038	-4	29.10000038	18.66666683	0.316666643	18.66666683	0.316666643	568	77	23	40.05401175	220	80	220	80	24.05.2018	7.243409157	-0.936113954	LUCAS
Lucas0039	49163486	-1.929999948	0.320931471	0	76.23529412	5	32.4894371	16.64197159	8.723203609	46.69770773	0.917878353	360.2049287	0.002548212	18.76559641	Lucas0039	GL_managed	Grassland	U111	U111	0-20	84	37	10	52	5.81	11.1	33.8	1	52	3.8	179.3	1.067405006	9	0.654475156	mediterranean	3	8.894736842	Spring	2192	7.983333357	7.566666707	28.2338308	720.1430856	22.60000038	-4.199999809	26.80000019	16.75000016	2.98333324	16.75000016	-0.899999936	637	79	29	32.90120078	226	96	226	115	29.05.2018	11.00407314	-0.475739211	LUCAS
Lucas0040	41822414	202.9808807	72.51138041	12.57811866	210.3529412	5	78.80513763	18.42439699	13.71366441	64.34492975	1.681055646	328.2190398	0.005121749	19.27332783	Lucas0040	GL_managed	Grassland	U111	U111	0-20	5	25	5	71	7.77	45.56	33.1	140	13.4	3.6	328.3	0.807687139	9	1.532446509	mediterranean	3	9.194444444	Spring	1932	13.11666657	8.366666524	29.77461396	725.8923379	28	-0.100000001	28.1	12.63333329	4.216666682	22.14999978	4.216666682	635	81	27	28.12210867	196	124	126	124	16.05.2018	23.14042854	0.741177499	LUCAS
Lucas0041	34382156	401.911438	4.064826727	90	0	6	46.35569763	22.81816864	15.1001478	27.9065621	1.092528068	368.9638663	0.002961071	13.82819016	Lucas0041	CL_annual	Cropland	U112	U111	0-20	14	30	28	43	8.19	23.5	14.1	308	7.2	1.7	270.9	1.435925691	9	0.830476864	mediterranean	1	8.294117647	Summer	1393	14.59166677	11.03333316	36.90078028	676.6321491	31.89999962	2	29.89999962	16.84999967	8.03333354	23.28333346	6.716666738	444	57	19	26.36359295	143	89	91	96	03.06.2018	11.16583729	0.912414849	LUCAS
Lucas0042	38742668	411.8733215	2.634417189	90	0	5	84.87089539	14.6483655	10.68208167	63.53099241	2.856853614	779.2936492	0.003665953	18.49834983	Lucas0042	GL_managed	Grassland	U111	U111	NA	9	14	59	28	4.14	44.6	31.4	1	35.7	3.4	170.4	1.067405006	9	1.781192167	mediterranean	3	9.235294118	Spring	1473	9.524999945	7.550000014	31.72268968	605.8146199	22.89999962	-0.899999976	23.79999959	15.19999981	5.383333236	17.06666644	2.200000003	847	84	55	13.45819717	229	173	225	205	24.05.2018	12.89822102	-0.747831643	LUCAS
Lucas0043	34382102	189.5606995	3.25895471	90	0	6	37.20923996	23.59591007	15.48848248	25.13901419	0.293068203	139.5004646	0.00210084	10.65913996	Lucas0043	Other bare soil	Bareland	U112	U410	0-20	7	33	15	52	7.74	88.3	11.8	314	10.2	1.5	229.3	1.067405006	9	0.657454574	mediterranean	Bareland	7.866666667	Summer	2889	15.47499986	11.79999995	39.33333411	663.1450373	32.29999924	2.299999952	29.99999928	17.70000013	9.033333341	23.91666635	7.73333327	369	49	17	29.88356138	122	67	79	69	03.06.2018	8.291100502	1.013520122	LUCAS
Lucas0044	29461660	1015.574524	1.836701224	11.47834095	105.8823529	5	25.75942993	13.97385502	16.79756285	54.27534314	3.644265233	1094.667861	0.003329106	26.25144556	Lucas0044	GL_managed	Grassland	U111	U111	0-20	41	28	29	43	7.97	19.03	44.8	35	3.7	2.8	421.8	1.176219663	9	0.548378027	mediterranean	3	16	Spring	665	12.79999998	10.06666671	37.42255287	586.4841195	28.5	1.600000024	26.89999998	7.350000083	20.34999975	20.58333317	6.233333369	858	128	2	68.85885168	379	25	30	374	29.05.2018	19.53826523	0.892785966	LUCAS
